Time (milliseconds)	ax	ay	az	mx	my	mz	ts	alti
367992	64	-144	-1008	18300	12450	80700	367969	395.7545
368038	192	-48	-864	18150	12750	81000	368017	396.1773
368106	144	-112	-992	18150	12750	80850	368082	395.8443
368140	0	64	-1008	18150	12900	80550	368119	395.4427
368188	80	-96	-1008	18300	12600	80250	368167	395.197
368242	48	0	-1008	17700	12900	80250	368221	395.1072
368290	80	-64	-976	18150	12750	80700	368269	395.6884
368360	64	-128	-1216	18150	12300	81150	368339	396.489
368394	112	-64	-1328	17400	13050	80550	368371	395.5352
368440	80	-16	-1312	18750	13050	80100	368419	395.3529
368490	80	0	-832	18000	12750	79650	368467	395.3529
368543	16	-16	-1120	18900	12600	80850	368521	395.9976
368610	48	-160	-880	18450	12300	80400	368587	395.3529
368641	80	32	-1056	18600	12150	80700	368619	395.5986
368693	16	-32	-992	18000	13050	80100	368671	395.3529
368741	128	-64	-1056	18150	13500	79800	368719	395.662
368789	112	32	-992	17700	12900	79950	368767	395.5087
368857	128	-96	-1024	18150	12750	80700	368836	395.1072
368891	48	48	-1024	17700	12600	80850	368869	395.0173
368940	80	-112	-976	17400	12450	80100	368917	395.7545
368995	32	32	-1008	18300	13050	80550	368971	395.662
369064	160	-96	-592	17850	12900	79950	369043	396.489
369096	80	32	-1104	18750	12750	80550	369074	395.1705
369144	16	-16	-1088	18150	12000	80550	369121	396.061
369190	112	-144	-1216	18750	12600	80100	369169	395.3264
369240	-48	128	-944	18150	12750	79950	369217	395.662
369309	80	48	-992	18450	12450	79650	369287	395.4797
369340	16	32	-992	18150	12600	80250	369319	396.5234
369388	160	-64	-1008	17250	12300	80550	369367	396.2777
369444	16	48	-1008	18300	12450	81300	369421	396.6159
369490	144	-32	-992	17850	13200	80100	369469	396.4335
369664	48	0	-976	19050	12900	81000	369643	394.8059
369696	80	-112	-1136	18900	12750	80550	369674	395.6065
369727	0	128	-1888	18600	12900	80550	369706	395.1441
369761	-96	-112	-2224	17850	12600	79800	369739	395.6065
369793	32	-128	-976	18000	12150	79950	369772	395.9421
369862	96	-224	112	18750	13050	80550	369838	395.6065
369893	128	16	-1040	17550	13350	80400	369871	395.4533
369924	64	-48	-960	18450	13050	80250	369902	395.2075
369956	144	-128	-992	18450	12750	79800	369934	396.2777
370024	32	-32	-992	18300	12300	80400	370002	395.6065
370056	64	0	-1024	18000	12750	80100	370034	395.2075
