millis	ax	ay	az	mx	my	mz
23535	1168	44	-836	-57900	17850	-21000
23588	1008	180	-1028	-58350	19350	-22500
23636	1324	-124	-820	-58500	22950	-23550
23684	560	508	-600	-56250	29700	-23400
23738	472	24	-556	-50100	29850	-20400
23794	600	-96	-1164	-52500	32100	-22200
23834	312	8	-784	-48000	36750	-22350
23888	500	236	-80	-40050	40200	-19800
23936	308	276	-1232	-41250	39600	-21300
23986	536	-16	-680	-44400	42900	-25050
24038	256	-360	8	-36900	48000	-25500
24086	604	-184	-800	-39600	46650	-25050
24142	388	168	-1532	-34500	39900	-19050
24188	416	-84	-1108	-26550	39150	-18000
24293	-160	-20	-608	-15300	46050	-22800
24308	-44	-216	-848	-15300	46050	-22800
24338	-12	-180	-1124	-15300	43950	-21900
24386	-100	24	-848	-14550	42300	-20250
24469	-108	-276	-1068	-19950	43200	-18600
24488	-84	-228	-968	-19350	41550	-18300
24536	-416	-8	-1020	-19350	39000	-18150
24584	-300	-164	-1068	-19950	38250	-16650
24638	-384	-212	-832	-20700	37500	-16950
24686	-496	-68	-736	-22350	39600	-17700
24741	-340	-232	-1088	-26400	39450	-17550
24789	0	-612	-1360	-30600	39750	-17850
24836	-308	-208	-936	-30450	42000	-19800
24884	-256	-152	-852	-28200	44100	-19950
24938	-128	-268	-848	-26250	43950	-20400
25042	-160	-348	-1024	-22650	46800	-22050
25101	-264	-356	-1044	-22050	47850	-23850
25117	-328	-268	-1000	-22050	49500	-24150
25136	-348	-216	-972	-21600	49350	-24750
25184	-320	-300	-844	-20550	49200	-26100
25238	-252	-588	-964	-21900	51000	-27000
25287	-140	-696	-884	-23250	52650	-29400
25334	-328	-308	-976	-22650	53100	-29250
25390	-348	-344	-868	-22050	53850	-28950
25436	-228	-576	-836	-22350	54450	-30150
25484	-292	-604	-852	-24150	54300	-28800
25538	-332	-536	-856	-23850	53250	-28950
25586	-328	-456	-932	-24450	53850	-28950
25634	-236	-492	-1008	-23400	53850	-30450
25718	-76	-504	-772	-25050	54150	-30900
25736	-172	-428	-656	-24300	54150	-30600
25785	-236	-392	-712	-23550	54150	-31050
25838	-240	-460	-972	-24000	54600	-31350
25886	-172	-496	-1128	-25200	55050	-31950
25934	-104	-508	-908	-25350	54900	-31200
25989	-104	-436	-980	-24600	55350	-31350
26036	-96	-432	-1024	-25200	54300	-30000
26084	-108	-400	-1068	-24600	54000	-29550
26138	-152	-356	-984	-24750	54150	-30300
26187	-144	-368	-956	-24900	53400	-30000
26234	-156	-400	-1012	-23850	53250	-28950
26289	-136	-448	-1000	-25050	53400	-29250
26336	-128	-448	-996	-26100	54450	-28950
26384	-128	-440	-964	-25500	52800	-29400
26438	-124	-452	-968	-26250	53100	-27750
26486	-124	-424	-936	-27000	52800	-28950
26534	-128	-412	-920	-27600	53550	-29700
26588	-128	-452	-960	-27150	52800	-28350
26645	-72	-468	-984	-28200	53100	-28200
26685	-16	-420	-972	-28500	53100	-28500
26738	16	-292	-956	-28800	53100	-28050
26786	-4	-228	-1064	-29250	51600	-26550
26834	20	-236	-888	-29100	50550	-26700
26888	64	-340	-1120	-31650	49950	-26400
26974	52	-352	-1044	-35250	48600	-25050
26989	52	-344	-1068	-35850	49200	-26250
27039	52	-360	-996	-36900	48300	-26700
27086	64	-404	-1004	-39000	47700	-25800
27134	64	-408	-1156	-40800	45750	-25500
27188	-4	-324	-996	-41400	45600	-24750
27246	44	-456	-1068	-42750	43950	-24150
27284	4	-424	-984	-43350	43500	-24750
27339	16	-388	-1040	-44700	42900	-24150
27386	8	-376	-1000	-44250	42300	-22800
27434	36	-412	-1056	-44250	40800	-22950
27488	16	-368	-1000	-45150	40350	-23100
27538	32	-380	-980	-43350	41100	-21750
27594	72	-360	-992	-44100	40800	-21600
27638	0	-316	-956	-41700	40350	-21150
27686	-16	-280	-944	-40950	40950	-20250
27734	-60	-260	-1012	-39600	40350	-19950
27788	-72	-20	-1140	-40350	40200	-19950
27836	-184	112	-1360	-40950	37050	-18600
27893	68	-112	-920	-40800	35100	-17550
27938	116	-244	-856	-41850	33900	-17250
27986	128	-196	-1224	-42150	31650	-16950
28035	100	-32	-1044	-42300	30600	-15600
